Introduced,Resident,Location
Leiopelma hamiltoni,"['Leiopelma archeyi', 'Leiopelma hochstetteri']","[['New Zealand'], ['New Zealand']]"
Leptodactylus fallax,['Leptodactylus albilabris'],[['Puerto Rico']]
Leptodactylus fragilis,"['Leptodactylus bolivianus', 'Leptodactylus colombiensis', 'Leptodactylus diedrus', 'Leptodactylus discodactylus', 'Leptodactylus fuscus', 'Leptodactylus guianensis', 'Leptodactylus insularum', 'Leptodactylus knudseni', 'Leptodactylus leptodactyloides', 'Leptodactylus lithonaetes', 'Leptodactylus longirostris', 'Leptodactylus macrosternum', 'Leptodactylus melanonotus', 'Leptodactylus mystaceus', 'Leptodactylus pentadactylus', 'Leptodactylus petersii', 'Leptodactylus poecilochilus', 'Leptodactylus rhodomerus', 'Leptodactylus rhodomystax', 'Leptodactylus rhodonotus', 'Leptodactylus riveroi', 'Leptodactylus savagei', 'Leptodactylus stenodema', 'Leptodactylus validus', 'Leptodactylus ventrimaculatus', 'Leptodactylus wagneri']","[['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia'], ['Colombia']]"
Leptodactylus labyrinthicus,"['Leptodactylus avivoca', 'Leptodactylus barrioi', 'Leptodactylus bolivianus', 'Leptodactylus brevipes', 'Leptodactylus bufonius', 'Leptodactylus caatingae', 'Leptodactylus camaquara', 'Leptodactylus cunicularius', 'Leptodactylus cupreus', 'Leptodactylus didymus', 'Leptodactylus diedrus', 'Leptodactylus discodactylus', 'Leptodactylus elenae', 'Leptodactylus flavopictus', 'Leptodactylus fremitus', 'Leptodactylus furnarius', 'Leptodactylus fuscus', 'Leptodactylus gracilis', 'Leptodactylus guianensis', 'Leptodactylus hylodes', 'Leptodactylus intermedius', 'Leptodactylus jolyi', 'Leptodactylus kilombo', 'Leptodactylus knudseni', 'Leptodactylus latinasus', 'Leptodactylus latrans', 'Leptodactylus lauramiriamae', 'Leptodactylus leptodactyloides', 'Leptodactylus longirostris', 'Leptodactylus luctator', 'Leptodactylus macrosternum', 'Leptodactylus marambaiae', 'Leptodactylus myersi', 'Leptodactylus mystaceus', 'Leptodactylus mystacinus', 'Leptodactylus natalensis', 'Leptodactylus notoaktites', 'Leptodactylus oreomantis', 'Leptodactylus paraensis', 'Leptodactylus paranaru', 'Leptodactylus payaya', 'Leptodactylus pentadactylus', 'Leptodactylus petersii', 'Leptodactylus plaumanni', 'Leptodactylus podicipinus', 'Leptodactylus pustulatus', 'Leptodactylus rhodomystax', 'Leptodactylus rhodonotus', 'Leptodactylus riveroi', 'Leptodactylus rugosus', 'Leptodactylus sabanensis', 'Leptodactylus spixi', 'Leptodactylus stenodema', 'Leptodactylus syphax', 'Leptodactylus tapiti', 'Leptodactylus troglodytes', 'Leptodactylus validus', 'Leptodactylus vastus', 'Leptodactylus viridis', 'Leptodactylus wagneri', 'Leptodactylus watu']","[['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil'], ['Brazil']]"
Limnodynastes tasmaniensis,"['Limnodynastes convexiusculus', 'Limnodynastes depressus', 'Limnodynastes dorsalis', 'Limnodynastes dumerilii', 'Limnodynastes fletcheri', 'Limnodynastes grayi', 'Limnodynastes interioris', 'Limnodynastes lignarius', 'Limnodynastes peronii', 'Limnodynastes salmini', 'Limnodynastes superciliaris', 'Limnodynastes terraereginae']","[['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia']]"
Lissotriton montandoni,"['Lissotriton helveticus', 'Lissotriton vulgaris']","[['Germany'], ['Germany']]"
Lithobates berlandieri,"['Lithobates adleri', 'Lithobates brownorum', 'Lithobates chichicuahutla', 'Lithobates chiricahuensis', 'Lithobates cora', 'Lithobates dunni', 'Lithobates floresi', 'Lithobates forreri', 'Lithobates hillisi', 'Lithobates johni', 'Lithobates lemosespinali', 'Lithobates macroglossa', 'Lithobates maculatus', 'Lithobates magnaocularis', 'Lithobates megapoda', 'Lithobates montezumae', 'Lithobates neovolcanicus', 'Lithobates omiltemanus', 'Lithobates pipiens', 'Lithobates psilonota', 'Lithobates pueblae', 'Lithobates pustulosus', 'Lithobates sierramadrensis', 'Lithobates spectabilis', 'Lithobates tarahumarae', 'Lithobates tlaloci', 'Lithobates vaillanti', 'Lithobates yavapaiensis', 'Lithobates zweifeli', 'Lithobates blairi', 'Lithobates fisheri', 'Lithobates onca']","[['Mexico'], ['Mexico'], ['Mexico'], ['Mexico', 'United States of America - Arizona'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['United States of America - Arizona', 'United States of America - California'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico', 'United States of America - Arizona'], ['Mexico'], ['Mexico'], ['Mexico', 'United States of America - Arizona', 'United States of America - California'], ['Mexico'], ['United States of America - Arizona'], ['United States of America - Arizona'], ['United States of America - Arizona']]"
Lithobates sphenocephalus,"['Lithobates chiricahuensis', 'Lithobates pipiens', 'Lithobates tarahumarae', 'Lithobates yavapaiensis', 'Lithobates blairi', 'Lithobates fisheri', 'Lithobates onca']","[['United States of America - Arizona'], ['United States of America - Arizona', 'United States of America - California'], ['United States of America - Arizona'], ['United States of America - Arizona', 'United States of America - California'], ['United States of America - Arizona'], ['United States of America - Arizona'], ['United States of America - Arizona']]"
Litoria dentata,"['Litoria adelaidensis', 'Litoria aurifera', 'Litoria axillaris', 'Litoria balatus', 'Litoria bicolor', 'Litoria burrowsi', 'Litoria calliscelis', 'Litoria cooloolensis', 'Litoria coplandi', 'Litoria corbeni', 'Litoria electrica', 'Litoria ewingii', 'Litoria fallax', 'Litoria freycineti', 'Litoria inermis', 'Litoria jervisiensis', 'Litoria latopalmata', 'Litoria littlejohni', 'Litoria longirostris', 'Litoria meiriana', 'Litoria microbelos', 'Litoria nasuta', 'Litoria nigrofrenata', 'Litoria olongburensis', 'Litoria pallida', 'Litoria paraewingi', 'Litoria peronii', 'Litoria personata', 'Litoria quiritatus', 'Litoria revelata', 'Litoria ridibunda', 'Litoria rothii', 'Litoria rubella', 'Litoria sibilus', 'Litoria spaldingi', 'Litoria staccato', 'Litoria tornieri', 'Litoria tyleri', 'Litoria verreauxii', 'Litoria watjulumensis', 'Litoria watsoni']","[['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia'], ['Australia']]"
Microhyla mukhlesuri,"['Microhyla butleri', 'Microhyla mantheyi']","[['Singapore'], ['Singapore']]"
