"","Species","Natural_Resident","Introduced","Endemic","Likely"
"359","Parvimolge townsendi (Dunn, 1922)","Mexico","","Mexico",""
"360","Pseudoeurycea ahuitzotl Adler, 1996","Mexico","","Mexico",""
"361","Pseudoeurycea altamontana (Taylor, 1939)","Mexico","","Mexico",""
"362","Pseudoeurycea amuzga Pérez-Ramos and Saldaña de la Riva, 2003","Mexico","","Mexico",""
"363","Pseudoeurycea anitae Bogert, 1967","Mexico","","Mexico",""
"364","Pseudoeurycea aquatica Wake and Campbell, 2001","Mexico","","Mexico",""
"365","Pseudoeurycea aurantia Canseco-Márquez and Parra-Olea, 2003","Mexico","","Mexico",""
"366","Pseudoeurycea brunnata Bumzahem and Smith, 1955","Guatemala, Mexico","","",""
"367","Pseudoeurycea cochranae (Taylor, 1943)","Mexico","","Mexico",""
"368","Pseudoeurycea conanti Bogert, 1967","Mexico","","Mexico",""
"369","Pseudoeurycea firscheini Shannon and Werler, 1955","Mexico","","Mexico",""
"370","Pseudoeurycea gadovii (Dunn, 1926)","Mexico","","Mexico",""
"371","Pseudoeurycea goebeli (Schmidt, 1936)","Guatemala, Mexico","","",""
"372","Pseudoeurycea granitum García-Bañuelos, Aguilar-López, Kelly-Hernandez, Vásquez-Cruz, Pineda-Arredondo, and Rovito, 2020","Mexico","","Mexico",""
"373","Pseudoeurycea jaguar Cázares-Hernández, Jimeno-Sevilla, Rovito, López Luna, and Canseco-Márquez, 2022","Mexico","","Mexico",""
"374","Pseudoeurycea juarezi Regal, 1966","Mexico","","Mexico",""
"375","Pseudoeurycea kuautli Campbell, Brodie, Blancas-Hernández, and Smith, 2013","Mexico","","Mexico",""
"376","Pseudoeurycea leprosa (Cope, 1869)","Mexico","","Mexico",""
"377","Pseudoeurycea lineola (Cope, 1865)","Mexico","","Mexico",""
"378","Pseudoeurycea longicauda Lynch, Wake, and Yang, 1983","Mexico","","Mexico",""
"379","Pseudoeurycea lynchi Parra-Olea, Papenfuss, and Wake, 2001","Mexico","","Mexico",""
