Resident,Introduced,Location
Leptodactylus tapiti,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus troglodytes,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus validus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus ventrimaculatus,Leptodactylus fragilis,['Colombia']
Leptodactylus viridis,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus wagneri,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus watu,Leptodactylus labyrinthicus,['Brazil']
Limnodynastes convexiusculus,Limnodynastes tasmaniensis,['Australia']
Limnodynastes depressus,Limnodynastes tasmaniensis,['Australia']
Limnodynastes dorsalis,Limnodynastes tasmaniensis,['Australia']
Limnodynastes dumerilii,Limnodynastes tasmaniensis,['Australia']
Limnodynastes fletcheri,Limnodynastes tasmaniensis,['Australia']
Limnodynastes grayi,Limnodynastes tasmaniensis,['Australia']
Limnodynastes interioris,Limnodynastes tasmaniensis,['Australia']
Limnodynastes lignarius,Limnodynastes tasmaniensis,['Australia']
Limnodynastes peronii,Limnodynastes tasmaniensis,['Australia']
Limnodynastes salmini,Limnodynastes tasmaniensis,['Australia']
Limnodynastes superciliaris,Limnodynastes tasmaniensis,['Australia']
Limnodynastes tasmaniensis,Limnodynastes tasmaniensis,['Australia']
Limnodynastes terraereginae,Limnodynastes tasmaniensis,['Australia']
Lithobates adleri,Lithobates berlandieri,['Mexico']
Lithobates berlandieri,Lithobates berlandieri,['Mexico']
Lithobates blairi,Lithobates berlandieri,[' United States of America - Arizona']
Lithobates blairi,Lithobates sphenocephalus,[' United States of America - Arizona']
Lithobates chichicuahutla,Lithobates berlandieri,['Mexico']
Lithobates chiricahuensis,Lithobates berlandieri,"['Mexico', ' United States of America - Arizona']"
Lithobates chiricahuensis,Lithobates sphenocephalus,[' United States of America - Arizona']
Lithobates cora,Lithobates berlandieri,['Mexico']
Lithobates dunni,Lithobates berlandieri,['Mexico']
Lithobates fisheri,Lithobates berlandieri,[' United States of America - Arizona']
Lithobates fisheri,Lithobates sphenocephalus,[' United States of America - Arizona']
Lithobates floresi,Lithobates berlandieri,['Mexico']
Lithobates forreri,Lithobates berlandieri,['Mexico']
Lithobates hillisi,Lithobates berlandieri,['Mexico']
Lithobates johni,Lithobates berlandieri,['Mexico']
Lithobates lemosespinali,Lithobates berlandieri,['Mexico']
Lithobates magnaocularis,Lithobates berlandieri,['Mexico']
Lithobates megapoda,Lithobates berlandieri,['Mexico']
Lithobates montezumae,Lithobates berlandieri,['Mexico']
Lithobates neovolcanicus,Lithobates berlandieri,['Mexico']
Lithobates omiltemanus,Lithobates berlandieri,['Mexico']
Lithobates onca,Lithobates berlandieri,[' United States of America - Arizona']
Lithobates onca,Lithobates sphenocephalus,[' United States of America - Arizona']
Lithobates pipiens,Lithobates berlandieri,"[' United States of America - Arizona', ' United States of America - California']"
Lithobates pipiens,Lithobates sphenocephalus,"[' United States of America - Arizona', ' United States of America - California']"
Lithobates psilonota,Lithobates berlandieri,['Mexico']
Lithobates pueblae,Lithobates berlandieri,['Mexico']
Lithobates pustulosus,Lithobates berlandieri,['Mexico']
Lithobates sierramadrensis,Lithobates berlandieri,['Mexico']
Lithobates spectabilis,Lithobates berlandieri,['Mexico']
Lithobates tarahumarae,Lithobates berlandieri,"['Mexico', ' United States of America - Arizona']"
Lithobates tarahumarae,Lithobates sphenocephalus,[' United States of America - Arizona']
Lithobates tlaloci,Lithobates berlandieri,['Mexico']
Lithobates yavapaiensis,Lithobates berlandieri,"['Mexico', ' United States of America - Arizona', ' United States of America - California']"
Lithobates yavapaiensis,Lithobates sphenocephalus,"[' United States of America - Arizona', ' United States of America - California']"
Lithobates zweifeli,Lithobates berlandieri,['Mexico']
Litoria adelaidensis,Litoria dentata,['Australia']
Litoria aurifera,Litoria dentata,['Australia']
Litoria axillaris,Litoria dentata,['Australia']
Litoria balatus,Litoria dentata,['Australia']
Litoria bicolor,Litoria dentata,['Australia']
Litoria burrowsi,Litoria dentata,['Australia']
Litoria calliscelis,Litoria dentata,['Australia']
Litoria cooloolensis,Litoria dentata,['Australia']
Litoria coplandi,Litoria dentata,['Australia']
Litoria corbeni,Litoria dentata,['Australia']
Litoria dentata,Litoria dentata,['Australia']
Litoria electrica,Litoria dentata,['Australia']
Litoria ewingii,Litoria dentata,['Australia']
Litoria fallax,Litoria dentata,['Australia']
Litoria freycineti,Litoria dentata,['Australia']
Litoria inermis,Litoria dentata,['Australia']
Litoria jervisiensis,Litoria dentata,['Australia']
Litoria latopalmata,Litoria dentata,['Australia']
Litoria littlejohni,Litoria dentata,['Australia']
Litoria longirostris,Litoria dentata,['Australia']
Litoria meiriana,Litoria dentata,['Australia']
Litoria microbelos,Litoria dentata,['Australia']
Litoria nasuta,Litoria dentata,['Australia']
Litoria nigrofrenata,Litoria dentata,['Australia']
Litoria olongburensis,Litoria dentata,['Australia']
Litoria pallida,Litoria dentata,['Australia']
Litoria paraewingi,Litoria dentata,['Australia']
Litoria peronii,Litoria dentata,['Australia']
Litoria personata,Litoria dentata,['Australia']
Litoria quiritatus,Litoria dentata,['Australia']
